Games played,States found,Time taken
50000,685303,35.04
100000,1308028,69.92
150000,1905073,105.77
200000,2485738,144.46
250000,3055961,184.99
300000,3617113,233.5
350000,4170599,277.43
400000,4718311,327.83
450000,5259525,382.27
500000,5793636,437.87
550000,6325847,494.94
600000,6853443,567.91
650000,7374867,636.29
700000,7891140,710.64
750000,8407481,787.06
800000,8918662,878.24
850000,9429423,968.74
900000,9935056,1230.6
950000,10439442,1330.41
1000000,10940486,1436.12
