Games played,States found,Time taken
100000,1308578,87.68
200000,2495148,164.86
300000,3628053,245.8
400000,4726536,330.72
500000,5799195,420.86
600000,6858445,531.05
700000,7899301,652.92
800000,8924710,785.53
900000,9939905,926.6
1000000,10945647,1083.48
